id,kalimat,sentiment
1,Breaking News: Wakil Ketua OJK Mirza Adityaswara Mundur,NETRAL
2,Simak Ini 4 Poin Penting Hasil RUPST Bank BRI,NETRAL
3,"119 BUMN Cetak Laba 64,2 Triliun, BRI Teratas",POSITIF
4,Bos BEI Beberkan Hasil Diskusi MSCI soal Reformasi Pasar Modal,NETRAL
5,8 Bulan Volume Transaksi AgenBRILink Tembus Rp 855 T,POSITIF
6,"Prospek Emiten EBT Tergolong Cerah pada 2026, Ini Penyebabnya",NETRAL
7,Daftar Pejabat OJK yang Mengundurkan Diri usai Gonjang-ganjing Pasar Saham,NETRAL
8,"Transfer BRI Dinyatakan Sukses, Dana Tak Masuk Rekening Tujuan",NEGATIF
9,"Ajak Satpam Bobol Brankas BRI Senilai Rp 1 Miliar, 1 Keluarga Diciduk",NEGATIF
10,"Rights Issue Beres, PANI Siap Genjot Bisnis di 2026",NETRAL
11,"Video: Buyback Saham, Ini Target Emiten Jasa Tambang DEWA di 2026",NEGATIF
12,Satu Pelaku Penggelapan Uang Bank BRI Berhasil Ditangkap,NEGATIF
13,"Intip Sederet Promo BRI Online Travel Fair 2022, Ada Diskon Flash Sale hingga 50 Persen",POSITIF
14,"Ini Alasan BRI Tebar Dividen Interim Rp 8,63 Triliun",NETRAL
15,"OJK Dalami 32 Kasus Pasar Modal, Targetkan Influencer Saham?",NETRAL
16,Semarak Penyerahan Hadiah Juara Agen BRILink Nasional dan Launching Asuransi Mikro KKM,POSITIF
17,Warga Cigombong Kaget Temukan Kaus Kaki Isi Emas dan Berlian,POSITIF
18,Pria Sukabumi Jadi Raja Hotel Dunia Setelah Terusir dari RI,NEGATIF
19,"IHSG Terkoreksi 0,64%, Cermati Saham Net Buy Terbesar Asing di Akhir Pekan Ini",NETRAL
20,"Lewat BRIMO Future Garuda, BRI Dorong Talenta Muda Timba Ilmu Dari 4 Legenda Sepak Bola Dunia",POSITIF
21,Live Now! Bos BRI Beberkan Strategi Geber Pembiayaan Hijau,POSITIF
22,"Kinerja Positif Berlanjut, Saham BRI Diproyeksi Tembus 6.100",POSITIF
23,"Alami Kebocoran Data, Ini Janji BRI Life ke Pemegang Polis",NEGATIF
24,"Rupiah Masih Tertekan, Yield SBN Naik Jadi Alarm Fiskal Pemerintah",NETRAL
25,"Sukses Bawa UMKM Naik Kelas, BRI Raih Banyak Pencapaian",POSITIF
26,"Dow Jones, S&P 500, Nasdaq Melemah di Tengah Ketidakpastian Timur Tengah",NETRAL
27,"Tabungan Nasabah Terkuras Rp 65 Juta, BRI: Akibat Kejahatan Perbankan",NEGATIF
28,BRI Hadirkan Pembayaran Digital Bagi Pengusaha Migas,POSITIF
29,Ini Lho 3 Kunci Pendorong Pertumbuhan Berkelanjutan BRI,POSITIF
30,Bank BRI Berikan Fasilitas Asuransi Sebagai Wujud Apresiasi kepada Agen BRILink,POSITIF
31,Purbaya Tak Akan Tekan BI Buat Biayai Program Pembangunan,NEGATIF
32,BRI Bagikan 10 Mesin Kapal Baru ke Nelayan di Labuan Bajo,POSITIF
33,"Terusir dari China, Pria Ini jadi Raja Elektronik Kaya Raya",NEGATIF
34,"Natal dan Tahun Baru, BRI Salurkan Bantuan Senilai Rp 3,3 M",POSITIF
35,Fore Kopi (FORE) Suntik Modal ke Anak Usaha Lebih dari Rp 13 Miliar,NETRAL
36,"Kejayaan Raja Ritel RI Runtuh, Jatuh ke Tangan Keluarga Riady",NEGATIF
37,"Luncurkan Tabungan Umrah, BSI Bidik 1 Juta Nasabah Baru",NEGATIF
38,BRI Perkuat Ekosistem Bisnis Berbasis Ekonomi Kerakyatan,POSITIF
39,5 Sahabat Nabi Muhammad SAW yang Paling Kaya sekaligus Dermawan,NEGATIF
40,Kemendag Apresiasi BRI Dukung Pembiayaan Sistem Resi Gudang,POSITIF
41,"IHSG Rawan Melemah Rabu (1/4), Simak Rekomendasi Sahamnya",NETRAL
42,"Sudah Sebulan Lebih, Kartu Kredit Pengganti BRI belum Diterima",NEGATIF
43,Perampok Bersenpi Juga Satroni BRI di Purworejo,NEGATIF
44,BRI Raih Penghargaan Top BUMN Awards 2022,POSITIF
45,"Call Center BRI Palsu di Denpasar, Bank Diminta Ikut Bertanggung Jawab",NEGATIF
46,Luhut Ungkap Isi Pembicaraan dengan MSCI selama 2 Jam,POSITIF
47,"Buntut Kasus Belvin Tannadi, OJK Bidik 32 Influencer Nakal Goreng Saham",POSITIF
48,"Awal 2026, Saham Grup Bakrie BUMI, BRMS dan DEWA Jadi Buruan Asing",NETRAL
49,"BRI Pimpin Porsi Pembiayaan UMKM, Jokowi Minta Bank Lain Jangan Kalah",POSITIF
50,"Port Faster International Kantongi Rp 891,44 Miliar Bekar Jual Saham BNBR",NETRAL
51,Dirut BRI Sunarso Dinobatkan Sebagai Best CEO of The Year,POSITIF
52,"E-Billing Kartu Kredit BRI Infinite Tak Diterima, Nasabah Dirugikan",NEGATIF
53,"UMKM ""Naik Kelas"" Lewat BRI Microfinance Outlook 2023",POSITIF
